Season,Date,Sex,Time,Handling,Weight,Culmen,Ulna,Tarsus,Stage,ID,Tri,Cho,Pro,Buty
2,11/03/2012,Hembra,17.96666667,0.133333333,1900,108.7,206,53.4,2,316h,76.474,173.53,3.257,10
2,16/04/2012,Hembra,11.5,0.233333333,1775,108.7,206,53.4,3,316h,75.638,197.158,3.396,8.461538462
2,09/12/2011,Macho,16.15,0.133333333,1470,106.5,192,49.3,0,419m,336.3486667,178.931,3.685,5.483870968
2,10/12/2011,Macho,11.88333333,0.166666667,1540,102.9,192,50.8,0,420m,118.699,229.563,3.87,3.076923077
2,09/12/2011,Hembra,16.65,0.183333333,2000,105.5,215,55.5,0,317h,649.3653333,214.711,3.882,7.307692308
2,09/01/2012,Macho,21.53333333,0.1,1535,102.9,192,50.8,1,420m,45.952,183.656,3.153,17.28571429
2,10/12/2011,Hembra,16.23333333,0.133333333,1825,110,210,54.5,0,318h,727.2716667,157.327,3.072,0
2,09/12/2011,Macho,15.3,0.233333333,1360,104.5,195,51.1,0,421m,40.517,288.972,3.362,11.72413793
2,08/01/2012,Hembra,15.78333333,0.2,1740,110,210,54.5,1,318h,163.447,230.914,3.94,9.722222222
2,08/01/2012,Macho,15.63333333,0.1,1470,104.5,195,51.1,1,421m,38.843,155.302,3.176,19.28571429
2,09/12/2011,Hembra,13.96666667,0.2,1810,106.3,205,57.7,0,319h,1853.993667,343.656,4.564,0
2,08/01/2012,Hembra,15.78333333,0.116666667,1760,106.3,205,57.7,1,319h,51.807,165.429,2.783,0
2,05/03/2012,Macho,14.73333333,0.183333333,1415,104.5,195,51.1,2,421m,72.293,186.357,3.026,16.66666667
2,16/04/2012,Macho,17.55,0.033333333,1440,104.5,195,51.1,3,421m,200.5526667,203.909,3.651,10.90909091
2,05/03/2012,Hembra,14.73333333,0.416666667,2145,106.3,205,57.7,2,319h,212.2396667,193.783,3.454,10.90909091
2,09/12/2011,Macho,17.36666667,0.233333333,1410,99.6,183,50,0,422m,181.004,149.901,3.998,4.074074074
2,16/04/2012,Hembra,12.21666667,0.133333333,1775,106.3,205,57.7,3,319h,64.769,163.403,3.107,16.4516129
2,08/01/2012,Macho,16.06666667,0.083333333,1300,99.6,183,50,1,422m,81.91,156.652,3.477,35.92592593
2,09/01/2012,Hembra,13.96666667,0.1,2000,112.9,208,54.7,1,320h,44.28,173.53,3.581,20.76923077
2,05/03/2012,Macho,15.23333333,0.25,1515,99.6,183,50,2,422m,158.008,182.306,3.813,
2,16/04/2012,Macho,11,0.083333333,1300,99.6,183,50,3,422m,44.695,187.032,3.176,35.48387097
2,05/03/2012,Hembra,15.23333333,0.183333333,1985,112.9,208,54.7,2,320h,84.002,193.783,3.593,
2,11/12/2011,Macho,13.7,0.35,1350,102.8,192,52.5,0,423m,30.065,116.821,3.917,
2,17/04/2012,Hembra,18.08333333,0.1,1745,112.9,208,54.7,3,320h,61.423,185.007,,14.72222222
2,28/01/2012,Macho,14.63333333,0.033333333,1435,102.8,192,52.5,1,423m,142.536,132.349,,0.568181818
2,11/12/2011,Hembra,13.7,0.2,1700,108.4,206,54.4,0,321h,2259.810333,313.0904184,5.212,0
2,29/01/2012,Hembra,16.5,0.25,1905,108.4,206,54.4,1,321h,129.577,237.665,,4.090909091
